generation,batch_size,num_hidden,beta,num_steps,accuracy
0,160,880,0.9426,10,0.8634072542190552
0,256,360,0.5158,40,0.7790464758872986
0,128,440,0.8477,30,0.8624799847602844
0,192,580,0.8319,30,0.846754789352417
0,128,660,0.8161,30,0.8624799847602844
0,256,340,0.8003,20,0.8240184187889099
0,128,320,0.8161,50,0.8402444124221802
0,96,360,0.7055,50,0.8296273946762085
0,192,920,0.6897,30,0.8351362347602844
0,192,480,0.7845,30,0.856370210647583
0,128,820,0.8477,30,0.858473539352417
0,128,280,0.8161,30,0.8432492017745972
0,128,440,0.8477,30,0.8610777258872986
0,160,880,0.9426,10,0.8597782254219055
0,128,660,0.8161,30,0.8610777258872986
0,128,320,0.8161,50,0.8471554517745972
0,192,440,0.7845,30,0.8277243375778198
0,128,480,0.8477,30,0.8527644276618958
0,128,440,0.8477,30,0.8656851053237915
0,128,660,0.8161,30,0.8551682829856873
1,128,760,0.8477,30,0.8696914911270142
1,128,340,0.8161,30,0.8573718070983887
1,128,440,0.8477,30,0.8552684187889099
1,128,440,0.8477,30,0.8459535241127014
1,128,440,0.8477,30,0.8519631624221802
1,128,440,0.8477,30,0.8530648946762085
1,128,820,0.8477,30,0.8659855723381042
1,128,820,0.8477,30,0.8686898946762085
1,160,880,0.9426,10,0.8721774220466614
1,128,440,0.8477,30,0.8392428159713745
2,128,760,0.8477,30,0.8807091116905212
2,160,880,0.9426,10,0.8730846643447876
2,160,880,0.9426,10,0.8695564270019531
2,160,880,0.9426,10,0.8667338490486145
2,128,820,0.8477,30,0.8612780570983887
2,160,880,0.9426,10,0.858568549156189
2,128,440,0.8477,30,0.8547676205635071
2,128,820,0.8477,30,0.8704928159713745
2,128,820,0.8477,30,0.8587740659713745
2,160,880,0.9426,10,0.862500011920929
3,160,880,0.9584,10,0.8602822422981262
3,64,760,0.8477,30,0.8755007982254028
3,160,880,0.9426,10,0.8665322661399841
3,128,820,0.8477,30,0.8575721383094788
3,128,780,0.8477,30,0.8599759340286255
3,160,880,0.9426,10,0.8670362830162048
3,128,880,0.9426,10,0.8714944124221802
3,160,820,0.8477,30,0.8581653237342834
3,160,880,0.9426,10,0.8642137050628662
3,160,880,0.9426,10,0.8686491847038269
4,128,880,0.9426,20,0.8718950152397156
4,256,880,0.9426,10,0.8503605723381042
4,128,880,0.9426,10,0.8667868375778198
4,160,880,0.9426,10,0.8711693286895752
4,96,760,0.8477,30,0.8669871687889099
4,160,880,0.9426,10,0.8528226017951965
4,160,880,0.9426,10,0.8578628897666931
4,128,880,0.9426,10,0.8762019276618958
4,160,880,0.9426,10,0.8636088967323303
4,256,880,0.9426,10,0.8585737347602844
5,160,560,0.9426,10,0.8419354557991028
5,96,260,0.8477,30,0.8433493375778198
5,128,880,0.9426,20,0.8605769276618958
5,128,880,0.9426,10,0.868088960647583
5,128,880,0.9426,10,0.8659855723381042
5,128,220,0.9426,20,0.8340344429016113
5,160,880,0.9426,10,0.8669354915618896
5,160,880,0.9426,10,0.8638104796409607
5,128,880,0.9426,20,0.8743990659713745
5,160,880,0.9426,10,0.8667338490486145
6,128,880,0.9426,20,0.8426482081413269
6,256,880,0.9426,20,0.8471554517745972
6,160,880,0.9426,10,0.8635080456733704
6,128,880,0.9426,20,0.8715945482254028
6,128,880,0.9426,10,0.8707932829856873
6,128,880,0.9426,10,0.8645833134651184
6,128,880,0.9426,20,0.8591746687889099
6,128,880,0.9426,20,0.8682892918586731
6,160,880,0.9426,10,0.8596774339675903
6,160,880,0.9426,10,0.8534274101257324
7,128,880,0.9426,20,0.8670873641967773
7,160,880,0.9426,10,0.8607863187789917
7,128,880,0.9426,20,0.8692908883094788
7,128,880,0.9426,20,0.8792067170143127
7,128,880,0.9426,20,0.8776041865348816
7,128,880,0.9426,20,0.8636819124221802
7,160,880,0.9426,10,0.864112913608551
7,160,880,0.9426,10,0.8690524101257324
7,128,880,0.9426,20,0.8567708134651184
7,128,880,0.9426,20,0.8624799847602844
8,128,880,0.9426,20,0.86328125
8,128,880,0.9426,20,0.8724960088729858
8,128,880,0.9426,20,0.8618789911270142
8,128,880,0.9426,20,0.8658854365348816
8,128,880,0.9426,20,0.8596754670143127
8,128,880,0.9426,20,0.8665865659713745
8,128,880,0.9426,10,0.8603765964508057
8,160,880,0.9426,20,0.8670362830162048
8,160,880,0.9426,10,0.8599798679351807
8,128,880,0.9426,20,0.8683894276618958
9,160,880,0.9426,20,0.8647177219390869
9,128,880,0.9426,20,0.8722956776618958
9,128,380,0.9426,20,0.85546875
9,160,880,0.9426,20,0.8587701320648193
9,128,880,0.9426,20,0.8653846383094788
9,128,880,0.9426,20,0.8636819124221802
9,128,880,0.9426,20,0.875
9,128,880,0.9426,20,0.8717948794364929
9,128,880,0.9426,20,0.8594751358032227
9,128,880,0.9426,20,0.8706930875778198
10,128,880,0.9426,20,0.8760015964508057
10,160,880,0.9426,20,0.8610886931419373
10,128,880,0.9426,20,0.8709936141967773
10,128,880,0.9426,20,0.8744992017745972
10,128,880,0.9426,20,0.8785055875778198
10,128,880,0.9426,20,0.8730969429016113
10,128,880,0.9426,20,0.8575721383094788
10,128,880,0.9426,20,0.8523637652397156
10,128,880,0.9426,20,0.8649839758872986
10,128,880,0.9426,20,0.8664863705635071
11,128,880,0.9426,20,0.8571714758872986
11,128,880,0.9426,20,0.8657852411270142
11,128,880,0.9426,20,0.8547676205635071
11,128,880,0.9426,20,0.8717948794364929
11,128,880,0.9426,20,0.8615785241127014
11,128,880,0.9426,20,0.8652844429016113
11,128,880,0.9426,20,0.8747996687889099
11,128,880,0.9426,20,0.86328125
11,128,880,0.9426,20,0.8804086446762085
11,128,880,0.8161,20,0.8614783883094788
12,128,880,0.9426,20,0.8645833134651184
12,128,880,0.9426,20,0.8627804517745972
12,128,880,0.9426,20,0.874098539352417
12,128,880,0.9426,20,0.8836137652397156
12,128,840,0.9426,20,0.8532652258872986
12,128,880,0.9426,20,0.8768028616905212
12,128,880,0.9426,20,0.8752003312110901
12,128,880,0.9426,20,0.8595753312110901
12,128,880,0.9426,20,0.8657852411270142
12,128,880,0.9426,20,0.8539663553237915
13,128,880,0.9426,20,0.8666867017745972
13,128,880,0.9426,20,0.8767027258872986
13,128,880,0.9426,20,0.8766025900840759
13,128,880,0.9426,20,0.8796073794364929
13,128,880,0.9426,20,0.8594751358032227
13,128,880,0.9426,20,0.8746995329856873
13,128,880,0.9426,20,0.8613781929016113
13,128,880,0.9426,20,0.8746995329856873
13,128,880,0.9426,20,0.8648838400840759
13,128,880,0.9426,20,0.8661859035491943
14,128,880,0.9426,20,0.8660857081413269
14,128,380,0.9426,20,0.8601762652397156
14,128,880,0.9426,20,0.8613781929016113
14,128,880,0.9426,20,0.8638821840286255
14,128,880,0.9426,20,0.8656851053237915
14,128,880,0.9426,20,0.8709936141967773
14,128,880,0.9426,20,0.8797075152397156
14,128,880,0.9426,20,0.8530648946762085
14,256,880,0.9426,20,0.8576722741127014
14,128,880,0.9426,20,0.8722956776618958
